company,company_website,company_domain,contact_url,contact_type,email,email_domain,is_generic,dropped_third_party_email,evidence_clean,source,score
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@arri-ct.com,arri-ct.com,True,False,"000"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""info@arri-ct.com"", ""website"": """", ""longitude"": ""-0.486437"", ""latitude"": ""51.",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@arri.it,arri.it,True,False,""""", ""misc1"": ""By appointment only"", ""misc2"": """", ""email"": ""info@arri.it"", ""website"": """", ""longitude"": ""12.462520449115507"", ""latitu",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@arrime.com,arrime.com,True,False,"957"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""info@arrime.com"", ""website"": """", ""longitude"": ""55.153984"", ""latitude"": ""25.",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@art-tech-design.fr,art-tech-design.fr,True,False,"13 "", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""info@art-tech-design.fr"", ""website"": ""https://www.art-tech-design.fr"", ""longitude"":",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,contact@avpdistributors.com,avpdistributors.com,True,False,"686"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""contact@avpdistributors.com"", ""website"": ""https://avpbroadcast.com"", ""longitude"": ""-80.",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@calpro.gr,calpro.gr,True,False,"722"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""info@calpro.gr"", ""website"": ""https://calpro.gr/"", ""longitude"": ""23.748378""",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@cameranordic.com,cameranordic.com,True,False,"240"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""info@cameranordic.com"", ""website"": ""https://www.cameranordic.com"", ""longitude"": """,company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@emit.fr,emit.fr,True,False,"010"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""info@emit.fr"", ""website"": ""https://www.emit.fr"", ""longitude"": ""2.341346""",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@eurobrastv.com.br,eurobrastv.com.br,True,False,"399"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""info@eurobrastv.com.br"", ""website"": ""https://www.eurobrastv.com.br"", ""longitude"":",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@fotocare.com,fotocare.com,True,False,"2"": ""+1(212) 462-0100"", ""misc1"": """", ""misc2"": """", ""email"": ""info@fotocare.com"", ""website"": ""http://www.fotocare.com/"", ""longitude"": ""-73.",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@gecko-cam.de,gecko-cam.de,True,False,"100"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""info@gecko-cam.de"", ""website"": ""https://www.gecko-cam.com"", ""longitude"": ""11.",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@hongjunlogic.com,hongjunlogic.com,True,False,"phone2"": """", ""misc1"": ""Mr. Eric Yu"", ""misc2"": """", ""email"": ""info@hongjunlogic.com"", ""website"": ""https://www.hongjunlogic.com"", ""longitude"": """,company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@jtk.cz,jtk.cz,True,False,"919"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""info@jtk.cz"", ""website"": ""https://www.jtk.cz"", ""longitude"": ""14.263541""",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@kayell.com.au,kayell.com.au,True,False,"800"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""info@kayell.com.au"", ""website"": ""https://www.kayellaustralia.com.au"", ""longitu",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,info@linkgroup.com.tr,linkgroup.com.tr,True,False,"20"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""info@linkgroup.com.tr"", ""website"": ""http://www.linkgroup.com.tr"", ""longitude"": ""2",company_site,14
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,press,medialightingkits@arri.de,arri.de,False,False,"-51"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""medialightingkits@arri.de"", ""website"": ""www.arri.com/systemgroup"", ""longitude"": """", """,company_site,13
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,studiosales@bhphoto.com,bhphoto.com,False,False,"999"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""studiosales@bhphoto.com"", ""website"": ""https://www.bhphotovideo.com"", ""longitude"": """,company_site,13
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,atlsales@barbizon.com,barbizon.com,False,False,"124"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""atlsales@barbizon.com"", ""website"": ""http://www.barbizon.com"", ""longitude"": ""-84.2",company_site,13
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,capitolsales@barbizon.com,barbizon.com,False,False,"900"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""capitolsales@barbizon.com"", ""website"": ""http://www.barbizon.com"", ""longitude"": ""-77.1",company_site,13
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,charsales@barbizon.com,barbizon.com,False,False,"122"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""charsales@barbizon.com"", ""website"": ""http://www.barbizon.com"", ""longitude"": ""-80.8",company_site,13
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,chisales@barbizon.com,barbizon.com,False,False,"500"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""chisales@barbizon.com"", ""website"": ""http://www.barbizon.com"", ""longitude"": ""-87.6",company_site,13
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,benysales@barbizon.com,barbizon.com,False,False,"620"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""benysales@barbizon.com"", ""website"": ""http://www.barbizon.com"", ""longitude"": ""-73.9",company_site,13
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,blonesales@barbizon.com,barbizon.com,False,False,"920"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""blonesales@barbizon.com"", ""website"": ""http://www.barbizon.com"", ""longitude"": ""-71.1",company_site,13
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,sales_partnership,saleswest@barbizon.com,barbizon.com,False,False,"875"", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""saleswest@barbizon.com"", ""website"": ""http://www.barbizon.com"", ""longitude"": ""-104.",company_site,13
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,press,clmedia@clmedia.co.kr,co.kr,False,False,"""Fax: +82 2 64422593 "", ""misc2"": ""Bonggyu Choi"", ""email"": ""clmedia@clmedia.co.kr"", ""website"": ""https://www.clmedia.co.kr"", ""longitude"": ""126",company_site,13
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,infomea@arri.de,arri.de,False,False,": """", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""infomea@arri.de"", ""website"": """", ""longitude"": """", ""latitude"": """", ""location",company_site,12
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,contact,epribadi@imsindo.co.id,co.id,False,False,": """", ""misc1"": ""James Eric Pribadi"", ""misc2"": """", ""email"": ""epribadi@imsindo.co.id"", ""website"": ""https://imsindo.co.id/"", ""longitude"": """", ""la",company_site,12
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,support,salessupport@arri.de,arri.de,False,False,": """", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""salessupport@arri.de"", ""website"": """", ""longitude"": ""11.592276"", ""latitude"": ""48.",company_site,11
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,support,arrisupportindia@cineom.in,cineom.in,False,False,""", ""misc2"": ""Mo. - Sat. 10:00 - 18:00 (IST). "", ""email"": "" arrisupportindia@cineom.in"", ""website"": ""https://cineom.in/"", ""longitude"": ""72.836729""",company_site,11
Arri,https://www.arri.com/en,arri.com,https://www.arri.com/en/contact,careers,arriukcareers@arri-gb.com,arri-gb.com,False,False,": """", ""telephone2"": """", ""misc1"": """", ""misc2"": """", ""email"": ""arriukcareers@arri-gb.com"", ""website"": """", ""longitude"": """", ""latitude"": """", ""location",company_site,11
Asobo Studio,http://www.asobostudio.com/,asobostudio.com,http://www.asobostudio.com/team,contact,,,False,False,contact page discovered (no email found),company_site,3
Asobo Studio,http://www.asobostudio.com/,asobostudio.com,http://www.asobostudio.com/about-us,contact,,,False,False,contact page discovered (no email found),company_site,3
Asobo Studio,http://www.asobostudio.com/,asobostudio.com,http://www.asobostudio.com/contact-us,contact,,,False,False,contact page discovered (no email found),company_site,3
Asobo Studio,http://www.asobostudio.com/,asobostudio.com,http://www.asobostudio.com/news/microsoft-flight-simulator-press-feedback,press,,,False,False,contact page discovered (no email found),company_site,3
Asobo Studio,http://www.asobostudio.com/,asobostudio.com,http://www.asobostudio.com/careers,careers,,,False,False,contact page discovered (no email found),company_site,2
Asobo Studio,http://www.asobostudio.com/,asobostudio.com,http://www.asobostudio.com/news/msfs-goty-edition-reno-air-races-expansion,contact,,,False,False,contact page discovered (no email found),company_site,2
ASSU 2000,https://agence.assu2000.fr/,assu2000.fr,https://agence.assu2000.fr/pays-de-la-loire,contact,,,False,False,contact page discovered (no email found),company_site,3
ASSU 2000,https://agence.assu2000.fr/,assu2000.fr,https://agence.assu2000.fr/centre-val-de-loire,contact,,,False,False,contact page discovered (no email found),company_site,3
ASSU 2000,https://agence.assu2000.fr/,assu2000.fr,https://agence.assu2000.fr/pays-de-la-loire/mayenne,contact,,,False,False,contact page discovered (no email found),company_site,3
ASSU 2000,https://agence.assu2000.fr/,assu2000.fr,https://agence.assu2000.fr/pays-de-la-loire/maine-et-loire,contact,,,False,False,contact page discovered (no email found),company_site,2
ASSU 2000,https://agence.assu2000.fr/,assu2000.fr,https://agence.assu2000.fr/pays-de-la-loire/loire-atlantique,contact,,,False,False,contact page discovered (no email found),company_site,2
ASSU 2000,https://agence.assu2000.fr/,assu2000.fr,https://agence.assu2000.fr/nouvelle-aquitaine/gironde/merignac,contact,,,False,False,contact page discovered (no email found),company_site,2
Astragon,http://www.astragon.de/,astragon.de,http://www.astragon.de/impressum,press,info@astragon.de,astragon.de,True,False,211 540515-0 Telefax: +49 (0) 211 540515-18 E-Mail: info@astragon.de Handelsregister Amtsgericht Düsseldorf HRB 8790,company_site,15
Astragon,http://www.astragon.de/,astragon.de,http://www.astragon.de/unternehmen/team,sales_partnership,,,False,False,contact page discovered (no email found),company_site,4
Astragon,http://www.astragon.de/,astragon.de,http://www.astragon.de/pressemitteilungen,press,,,False,False,contact page discovered (no email found),company_site,4
Astragon,http://www.astragon.de/,astragon.de,http://www.astragon.de/kontakt,contact,,,False,False,contact page discovered (no email found),company_site,3
Astragon,http://www.astragon.de/,astragon.de,http://www.astragon.de/support-faq/support,support,,,False,False,contact page discovered (no email found),company_site,2
ATC Architecture,https://atc-architecture.com/,atc-architecture.com,https://atc-architecture.com/mentions-legales/,legal,,,False,False,contact page discovered (no email found),company_site,2
Atelier 801,https://atelier801.com,atelier801.com,https://atelier801.com/contact,contact,,,False,False,contact page discovered (no email found),company_site,3
Atelier Kaiser Shen,https://atelierkaisershen.de/,atelierkaisershen.de,https://atelierkaisershen.de/,careers,jobs@atelierkaisershen.com,atelierkaisershen.com,True,False,sproben und Eintrittstermin. Bitte per E-Mail (max. 10 MB): jobs@atelierkaisershen.com Offene Stelle Architekt*in (m/w/d): Zum nächst,company_site,13
Atelier Kaiser Shen,https://atelierkaisershen.de/,atelierkaisershen.de,https://atelierkaisershen.de/,other,info@atelierkaisershen.com,atelierkaisershen.com,True,False,"Alexanderstraße 11, 70184 Stuttgart +49 711 66453020, info@atelierkaisershen.com Das Stuttgarter Atelier Kaiser Shen wurde 2017 von F",company_site,12
Audi AG,https://www.audi.co.za/,co.za,https://www.audi.co.za/en/Contact-us/,contact,,,False,False,contact page discovered (no email found),company_site,3
Audi AG,https://www.audi.co.za/,co.za,https://www.audi.co.za/en/about-audi/about-us/,contact,,,False,False,contact page discovered (no email found),company_site,3
Audi AG,https://www.audi.co.za/,co.za,https://www.audi.co.za/en/careers/,careers,,,False,False,contact page discovered (no email found),company_site,2
Audi AG,https://www.audi.co.za/,co.za,https://www.audi.co.za/en/audi-service/approved-motor-body-repairers/,contact,,,False,False,contact page discovered (no email found),company_site,2
Audi AG,https://www.audi.co.za/,co.za,https://www.audi.co.za/en/tools/navigation/layer/legal/cookie-policy/,legal,,,False,False,contact page discovered (no email found),company_site,1
August Brötje GmbH,http://www.broetje.de/,broetje.de,http://www.broetje.de/unternehmen/presse,press,presse@broetje.de,broetje.de,True,False,"-wrapper flex-grow max-w-none md:max-w-max""><a href=""mailto:presse@broetje.de"" class=""button medium fa-solid fa-envelope"" title="""" target",company_site,15
August Brötje GmbH,http://www.broetje.de/,broetje.de,http://www.broetje.de/unternehmen,sales_partnership,,,False,False,contact page discovered (no email found),company_site,4
August Brötje GmbH,http://www.broetje.de/,broetje.de,http://www.broetje.de/unternehmen/blog,sales_partnership,,,False,False,contact page discovered (no email found),company_site,4
August Brötje GmbH,http://www.broetje.de/,broetje.de,http://www.broetje.de/unternehmen/ueber-uns,sales_partnership,,,False,False,contact page discovered (no email found),company_site,4
August Brötje GmbH,http://www.broetje.de/,broetje.de,http://www.broetje.de/unternehmen/referenzobjekte,sales_partnership,,,False,False,contact page discovered (no email found),company_site,4
August Brötje GmbH,http://www.broetje.de/,broetje.de,http://www.broetje.de/unternehmen/karriere,careers,,,False,False,contact page discovered (no email found),company_site,2
AURORA Konrad G. Schulz GmbH & Co. KG,https://www.aurora-eos.com,aurora-eos.com,https://www.aurora-eos.com/de/impressum,press,info@aurora-eos.com,aurora-eos.com,True,False,br>Telefax: +49 (0) 6284 9202-99 E-Mail: info@aurora-eos.com Umsatzsteuer,company_site,15
AURORA Konrad G. Schulz GmbH & Co. KG,https://www.aurora-eos.com,aurora-eos.com,https://www.aurora-eos.com/de/unternehmen/ueber-uns,sales_partnership,info@aurora-eos.com,aurora-eos.com,True,False,n> | E-Mail: info@aurora-eos.com <div,company_site,15
