company,company_website,company_domain,best_contact_type,best_contact_email,best_contact_url,best_score,alt_emails,alt_urls,evidence_clean,source
bañulsdesign,https://www.banulsdesign.com/,banulsdesign.com,contact,,https://www.banulsdesign.com/about/,3,,https://www.banulsdesign.com/contact/ | https://www.banulsdesign.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.9 | https://www.banulsdesign.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17,contact page discovered (no email found),company_site
Bbg Berliner Baugenossenschaft,https://bbg-eg.de/,bbg-eg.de,contact,info@bbg-eg.de,https://bbg-eg.de/kontakt/verwaltung/,13,kerstin.kirsch@bbg-eg.de | miriam.barz@bbg-eg.de | Nihal.Bilir-Kademliouglu@bbg-eg.de,https://bbg-eg.de/kontakt/verwaltung/ | https://bbg-eg.de/kontakt/verwaltung/ | https://bbg-eg.de/kontakt/verwaltung/,"data-av_icon="""" data-av_iconfont=""entypo-fontello""> info@bbg-eg.de <span class=""hidden team-member-affiliation""",company_site
Bechtle,https://www.bechtle.com/,bechtle.com,legal,kontakt@bechtle.com,https://www.bechtle.com/legal-notice,11,kontakt@bechtle.com | kontakt@bechtle.com | privacy@bechtle.com,https://www.bechtle.com/shop/software/virtualisierung/desktopvirtualisierung--20003002--c | https://www.bechtle.com/shop/software/virtualisierung/infrastruktur-management--20003003--c | https://www.bechtle.com/shop/software/virtualisierung/desktopvirtualisierung--20003002--c,kontakt@bechtle.com <,company_site
Beiersdorf,https://www.beiersdorf.com,beiersdorf.com,sales_partnership,sales.iceland@beiersdorf.com,https://www.beiersdorf.com/about-us/beiersdorf-global,15,contact.brussels@beiersdorf.com | contact.ath@beiersdorf.com | contact.at0064@beiersdorf.com,https://www.beiersdorf.com/about-us/beiersdorf-global | https://www.beiersdorf.com/about-us/beiersdorf-global | https://www.beiersdorf.com/about-us/beiersdorf-global,Mail: sales.iceland@beiersdorf.com,company_site
Bernheim-Jeune,http://www.bernheim-jeune.com/,bernheim-jeune.com,other,info@bernheim-jeune.com,http://www.bernheim-jeune.com/,13,,,"ddress"":""27, avenue Matignon\n75008 Paris\nFrance"",""email"":""info@bernheim-jeune.com"",""telephone"":""+33(0) 142666031"",""sameAs"":[],""@context"":""htt",company_site
Bertelsmann,https://www.bertelsmann.com/,bertelsmann.com,investor_relations,,https://www.bertelsmann.com/investor-relations/,5,,https://www.bertelsmann.com/news-and-media/ | https://www.bertelsmann.com/news-and-media/news/ | https://www.bertelsmann.com/news-and-media/videos/,contact page discovered (no email found),company_site
Big Mamma,https://www.bigmammagroup.com/,bigmammagroup.com,press,ukpress@bigmamma.com,https://www.bigmammagroup.com/,13,ukpress@bigmamma.com | ukpress@bigmamma.com | contact@bigmammagroup.com,https://www.bigmammagroup.com/legal | https://www.bigmammagroup.com/contact | https://www.bigmammagroup.com/italian-restaurants/la-bellezza-birmingham,"0935},""1d1cd07c0a8b"",[],""For all PR enquiries, please email ukpress@bigmamma.com. For general enquiries please email amore@bigmamma.com."",[]",company_site
Bills Burger,https://bills-burger.fr/,bills-burger.fr,contact,,https://bills-burger.fr/on-est-qui/histoire,3,,https://bills-burger.fr/on-est-qui/savoir-faire | https://bills-burger.fr/_next/static/media/e4af272ccee01ff0-s.p.woff2,contact page discovered (no email found),company_site
Biotope,https://www.biotope.fr,biotope.fr,contact,chosen-sprite@2x.png,https://www.biotope.fr/contact/,11,,https://www.biotope.fr/espace-presse/ | https://www.biotope.fr/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/menu-item/style.min.css?ver=1 | https://www.biotope.fr/une-campagne-publicitaire-engagee-pour-la-nature/,//www.biotope.fr/wp-content/plugins/gravityforms/legacy/css/chosen-sprite@2x.png');}.rll-youtube-player .play{--wpr-bg-ff139e75-1b50-4a96-bb,company_site
Birkenstock,https://www.birkenstock.com/,birkenstock.com,legal,privacy@birkenstock.com,https://www.birkenstock.com/,11,privacy@birkenstock.com | privacy@birkenstock.com | privacy@birkenstock.com,https://www.birkenstock.com/de/accessoires/ | https://www.birkenstock.com/de/modelle/birmingham/ | https://www.birkenstock.com/de/accessoires/socken/,"n Abmelde-Link im Newsletter, per E-Mail an priva",company_site
Black Forest Labs,https://bfl.ai/,bfl.ai,contact,info@blackforestlabs.ai,https://bfl.ai/contact,13,info@blackforestlabs.ai | support@blackforestlabs.ai,https://bfl.ai/legal/imprint | https://bfl.ai/legal/privacy-policy | https://bfl.ai/about,"ail us at <span class=""with-underline group flex cursor-pointer item",company_site
Blaze Type,https://blazetype.eu,blazetype.eu,contact,hello@blazetype.eu,https://blazetype.eu/contact,14,hello@blazetype.eu,https://blazetype.eu/legals | https://blazetype.eu/typefaces/swirl | https://blazetype.eu/typefaces/sapfir,"#x61;zetype.eu"">hello@blazetype.eu Anything post mail related can be sent to: <",company_site
Bleher architectes,http://bleher-architectes.com/,bleher-architectes.com,press,contact@bleher-architectes.com,http://bleher-architectes.com/mediatheque-de-moelan-sur-mer/,15,contact@bleher-architectes.com | contact@bleher-architectes.com | contact@bleher-architectes.com,http://bleher-architectes.com/ | http://bleher-architectes.com/category/loisirs/ | http://bleher-architectes.com/category/tertiaire/,Tel # 02.97.42.21.44 Mail # contact@bleher-architectes.com,company_site
Blohm+Voss,https://nvl.de/en/shipyards-and-docks/blohmvoss,nvl.de,press,info@poolone.de,https://nvl.de/en/media,14,info@nvl.de | info@peene-werft.de | info@blohmvoss.com,https://nvl.de/en/contact | https://nvl.de/en/contact | https://nvl.de/en/contact,ctly. PoolOne Giant Media GmbH info@poolone.de +49 40 2787 00 0<b,company_site
BN Biscuit,https://www.bn-biscuits.com/,bn-biscuits.com,contact,,https://www.bn-biscuits.com/fr/mentions-sanitaires,3,,https://www.bn-biscuits.com/fr/mentions-legales,contact page discovered (no email found),company_site
BOMAG,http://www.bomag.com,bomag.com,other,info@bomag.com,http://www.bomag.com,13,info@bomag.com | info@bomag.com | info@bomag.com,http://www.bomag.com/ww-en/jobs-and-career/ | http://www.bomag.com/ww-en/jobs-and-career/overview/ | http://www.bomag.com/ww-en/services/support-and-training/,"ipt:linkTo_UnCryptMailto('nbjmup+jogpAcpnbh\/dpn');"" title=""info@bomag.com"" target=""_top"" class=""e-link e-link--light e-link--internal",company_site
BrandUp Factory GmbH,https://www.brandupfactory.com,brandupfactory.com,contact,info@brandupfactory.com,https://www.brandupfactory.com/de/contact,14,info@brandupfactory.com | info@brandupfactory.com | info@brandupfactory.com,https://www.brandupfactory.com | https://www.brandupfactory.com/de/team | https://www.brandupfactory.com/de/legal,"-black mb-2"">Senden Sie uns eine E-Mail <a href=""mailto:info@brandupfactory.com"" class=""text-sm text-gray-600 hover:text-black transition-c",company_site
Bredin Prat,http://www.bredinprat.fr/en,bredinprat.fr,contact,info@bredinprat.com,https://www.bredinprat.fr/en/contact/,14,info@bredinprat.com,https://www.bredinprat.fr/en/legal-disclamer/ | https://www.bredinprat.fr/wp-content/plugins/sitepress-multilingual-cms/templates/language-switchers/legacy-dropdown/style.min.css?ver=1 | https://www.bredinprat.fr/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.3,iv> Email : info@bredinprat.com,company_site
Breitkopf & Härtel,http://www.breitkopf.com/,breitkopf.com,careers,jobs@breitkopf.de,http://www.breitkopf.com/news/2024/jobs,13,,http://www.breitkopf.com/contact | http://www.breitkopf.com/contact#form | http://www.breitkopf.com/contact/review,bitte möglichst bis zum 1. April eines Jahres per Email an jobs@breitkopf.de zu Händen von Herrn Sebastian Mohr. Bei Rückfragen stehen w,company_site
Breuninger,https://www.breuninger.com/,breuninger.com,contact,,https://www.breuninger.com/de/marken/birkenstock/,3,,https://www.breuninger.com/de/herren/bekleidung/sweat-sweatshirts/,contact page discovered (no email found),company_site
Bruker,http://www.bruker.com,bruker.com,legal,privacy@bruker.com,http://www.bruker.com/en/legal/cookie.html,11,,http://www.bruker.com/en/about.html | http://www.bruker.com/en/careers.html | http://www.bruker.com/en/legal/imprint.html,"e,""onWebinar"":false}"" data-protectable href=""mailto:privacy@bruker.com"" class="" ui-icon-lock__element ui-action-link ui-action-lin",company_site
Bruno Fioretti Marquez,https://bfm.berlin/,bfm.berlin,contact,,https://bfm.berlin/about/,3,,https://bfm.berlin/city-forum-euskirchen-2024/ | https://bfm.berlin/kohlenbunkerensemble-gelsenkirchen-2022/ | https://bfm.berlin/visitor-center-tempelhof-airport-berlin-2016/,contact page discovered (no email found),company_site
Burmester Audiosysteme GmbH,https://www.burmester.de/,burmester.de,contact,,https://www.burmester.de/kontakt/,3,,https://www.burmester.de/wp-content/plugins/contact-form-7/includes/css/styles.css,contact page discovered (no email found),company_site
BÄKO Ost eG Bakers' and Confectioners' CooperativeSaxony-Brandenburg,https://www.baeko-ost.de,baeko-ost.de,press,info@baeko-ost.de,https://www.baeko-ost.de/impressum/,15,info@baeko-ost.de | Jobs2_fotolia_40921880@2x.png | support@backbuero.de,https://www.baeko-ost.de/ueber-baeko-ost/kontakt/ | https://www.baeko-ost.de | https://www.baeko-ost.de/support/,Tel.: +49 35245 779-0 E-Mail: info@baeko-ost.de Vertreten durch den Vorstand:,company_site
Büchergilde Gutenberg,https://www.buechergilde.de/,buechergilde.de,press,nproduktsicherheit@buechergilde.de,https://www.buechergilde.de/shop/produkte/176998-onigiri,12,,https://www.buechergilde.de/shop/produkte/17703x-wir-ostpreussen | https://www.buechergilde.de/shop/produkte/177005-witches-bitches-it-girls,"/\u003e\n\u003cbr /\u003e\nbuechergilde.de\u003cbr /\u003e\nproduktsicherheit@buechergilde.de\u003c/p\u003e\n"",""award"":null,""press"":null},""images"":{""cove",company_site
C&A,https://www.c-and-a.com/,c-and-a.com,press,press@canda.com,https://www.c-and-a.com/de/de/corporate/company/presse,15,press.cz@canda.com | press@canda.com | press.hu@canda.com,https://www.c-and-a.com/de/de/corporate/company/kontakt | https://www.c-and-a.com/de/de/corporate/company/kontakt | https://www.c-and-a.com/de/de/corporate/company/kontakt,"[6px] transition-all hover:underline-offset-2"" href=""mailto:press@canda.com""> <!--[-",company_site
C. Woermann,http://www.c-woermann.de/,c-woermann.de,press,info@c-woermann.com,https://www.c-woermann.de/deutsch/impressum/,14,info@c-woermann.com | info@c-woermann.com | info@c-woermann.com,https://www.c-woermann.de/deutsch/das-unternehmen/ | http://www.c-woermann.de/contact | https://www.c-woermann.de/deutsch/kontakt/,"=""ib ic ic-letter ic-lg""> info@c-woermann.com <div class=""feature feature-icon-hover inde",company_site
Casimir Katz Verlag,https://www.katzverlag.de/,katzverlag.de,press,info@casimir-katz-verlag.de,https://www.katzverlag.de/impressum/,15,info@casimir-katz-verlag.de | info@casimir-katz-verlag.de | info@casimir-katz-verlag.de,https://www.katzverlag.de/gernsbacher-bote/mediadaten/ | https://www.katzverlag.de/presse/ | https://www.katzverlag.de/gernsbacher-bote/kontakt-zur-redaktion/,49 7224 9397-0 Telefax: +49 7224 990169 E-Mail: info@casimir-katz-verlag.de Umsatzsteuer-ID Umsatzsteuer-Identifikati,company_site
Casino Group,https://www.groupe-casino.fr/,groupe-casino.fr,contact,,https://www.groupe-casino.fr/contact/,3,,https://www.groupe-casino.fr/category/solidaire/ | https://www.groupe-casino.fr/engagements/agir-ensemble/ | https://www.groupe-casino.fr/investisseurs/actionnaires/,contact page discovered (no email found),company_site
CBS-Lifteam,https://cbs-cbt.com,cbs-cbt.com,press,contact@charly-broyez.fr,https://cbs-cbt.com/multimedia/documents/Livret%20RSE3_300924_BD.pdf,14,,https://cbs-cbt.com/fr/contact/Contact-3-0-0 | https://cbs-cbt.com/multimedia/documents/charte-ethique-2023-v2.pdf | https://cbs-cbt.com/librairies/js/camera/css/camera.css,chitecture bois contact@charly-broyez.fr forêt france</r,company_site
Centre for Feminist Foreign Policy,https://centreforfeministforeignpolicy.org/,centreforfeministforeignpolicy.org,press,hello@centreforffp.org,https://centreforfeministforeignpolicy.org/press/,15,,https://centreforfeministforeignpolicy.org/wordpress/xmlrpc.php?rsd | https://centreforfeministforeignpolicy.org/cffp-5th-birthday/ | https://centreforfeministforeignpolicy.org/wordpress/wp-includes/css/dashicons.min.css?ver=6.9,"s and media inquiries, please contact us at hello@centreforffp.org .",company_site
Chemische Fabrik Kalk,http://www.cfk-gmbh.com/de/,cfk-gmbh.com,press,info-cfk@k-plus-s.com,http://www.cfk-gmbh.com/de-de/impressum/,15,no-spaminfo-cfk@k-plus-s.com,http://www.cfk-gmbh.com/de-de/kontakt/standorte/ | http://www.cfk-gmbh.com/de-de/kontakt/ansprechpartner/ | http://www.cfk-gmbh.com/de-de/kontakt/anfrageformular/,"00492218296420"">+49 221 8296 420 E-Mail: <a title=""info-cfk@k-plus-s.com"" href=""mailto:info-cfk@k-plus-s.com"" target=""_blank"" rel=""n",company_site
Chicken Street,https://www.chickenstreet.fr/,chickenstreet.fr,contact,,https://www.chickenstreet.fr/solidaire/,3,,https://www.chickenstreet.fr/ptits-plaisirs/ | https://www.chickenstreet.fr/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.8,contact page discovered (no email found),company_site
Clinkast,https://www.clinkast.fr,clinkast.fr,legal,contact@clinkast.fr,https://www.clinkast.fr/mentions-legales/,13,,https://www.clinkast.fr/contact-us/ | https://www.clinkast.fr/a-propos/partenaires/ | https://www.clinkast.fr/a-propos/notre-histoire/,eur de publication : M. Stéphane Kamgaing Contact mail : contact@clinkast.fr Téléphone : +33 1 46 31 44 25 N° de TVA intracommunau,company_site
Concilio,https://www.concilio.com,concilio.com,contact,contact@concilio.com,https://www.concilio.com,14,contact@concilio.com | contact@concilio.com | contact@concilio.com,https://www.concilio.com/chirurgie-plastique | https://www.concilio.com/chirurgie-viscerale | https://www.concilio.com/mentions-legales/,"v class=""text""> contact@concilio.com",company_site
ContentView GmbH,https://contentview.de/,contentview.de,other,info@contentview.de,https://contentview.de/,12,,,"div class=""animated anim50""> <svg version=""1.1"" id=""E",company_site
Continental AG,https://continental.com/,continental.com,investor_relations,IR@conti.de,https://continental.com/en/investors/,16,,https://continental.com/en/investors/events/ | https://continental.com/en/investors/shares/ | https://continental.com/en/investors/ir-news/,"ss=""c-media__text s-richtext mb-0 mt-0""> Send an email to IR@conti.de. <div class=""r",company_site
Cyberus Technology GmbH,https://www.cyberus-technology.de/,cyberus-technology.de,careers,jobs@cyberus-technology.de,https://www.cyberus-technology.de/en/about/careers,12,,https://www.cyberus-technology.de/en/about/references/partners | https://www.cyberus-technology.de/en/about-cyberus | https://www.cyberus-technology.de/en/about/history,"If you would like to apply, send your CV to jobs@cyberus-technology.de .<",company_site
Dachser Group SE & Co. KG,http://www.dachser.com,dachser.com,contact,info@dachser.com,https://www.dachser.com/en/contact-650,13,,https://www.dachser.com/en/mediaroom/ | http://www.dachser.com/en/news-and-media.php | http://www.dachser.com/en/air-sea-logistics-network-53.php,"=""""> Services <option value=""info@dachser.",company_site
Dassault Systèmes,https://www.3ds.com/,3ds.com,press,,https://www.3ds.com/newsroom,4,,https://www.3ds.com/products/plm-express | https://www.3ds.com/support | https://www.3ds.com/careers,contact page discovered (no email found),company_site
DATEV,https://www.datev.de/,datev.de,sales_partnership,,https://www.datev.de/web/de/unternehmen,4,,https://www.datev.de/web/de/unternehmen?utm_campaignid=datev-de&utm_medium=footer&utm_content=unternehmenssoftware&utm_target=neutral&utm_author=intern | https://www.datev.de/web/de/wirtschaftspruefung | https://www.datev.de/web/de/berufsgruppenuebergreifend/ueber-datev/kontakt,contact page discovered (no email found),company_site
Deutsche Börse,https://www.deutsche-boerse.com,deutsche-boerse.com,investor_relations,ir@deutsche-boerse.com,https://www.deutsche-boerse.com/dbg-de/investor-relations,16,media-relations@deutsche-boerse.com | media-relations@deutsche-boerse.com | info@deutsche-boerse.com,https://www.deutsche-boerse.com/dbg-de/media | https://www.deutsche-boerse.com/dbg-de/media/reg | https://www.deutsche-boerse.com,"-contact""> ir@deutsche-boerse.com </",company_site
Deutsche Frühstücksei,http://www.deutsche-fruehstuecksei.de/,deutsche-fruehstuecksei.de,press,,http://www.deutsche-fruehstuecksei.de/impressum/,4,,,contact page discovered (no email found),company_site
Deutsche Fußball Liga,https://www.dfl.de/,dfl.de,press,info@dfl.de,https://www.dfl.de/de/impressum/,15,info@bundesliga.de,https://www.dfl.de/de/impressum/ | https://www.dfl.de/de/kontakt/ | https://www.dfl.de/de/jobs/,"x +49 (0) 69 – 65005 – 555 E-Mail-Adresse: info@dfl.de Geschäftsführung: Dr. Marc Lenz, Dr. Steffen Merk",company_site
Deutsche Rohstoff,http://www.rohstoff.de/,rohstoff.de,other,info@rohstoff.de,http://www.rohstoff.de/,12,,,"tel:+496214908170"">+49 621 490 817 0 info@rohstoff.de",company_site
Deutsche Rück,http://www.deutscherueck.de,deutscherueck.de,press,,http://www.deutscherueck.de/impressum,4,,http://www.deutscherueck.de/unternehmen | http://www.deutscherueck.de/unternehmen/nachhaltigkeitsstrategie,contact page discovered (no email found),company_site
Deutsche Vermögensberatung,https://www.dvag.de,dvag.de,press,,https://www.dvag.de/dvag/impressum.html,4,,https://www.dvag.de/dvag/das-unternehmen.html | https://www.dvag.de/dvag/das-unternehmen/standorte.html | https://www.dvag.de/dvag/das-unternehmen/geschichte.html,contact page discovered (no email found),company_site
Deutsche Werkstätten Hellerau,http://www.dwh.de/,dwh.de,contact,,http://www.dwh.de/kontakt,3,,,contact page discovered (no email found),company_site
DSLregional,https://www.dslregional.de,dslregional.de,press,info@dslregional.de,https://www.dslregional.de/impressum/,15,support@dslregional.de | support@dslregional.de,https://www.dslregional.de/impressum/ | https://www.dslregional.de,"div class=""elementor-widget-container""> E-Mail: info@dslregional.de (bevorzugt) Tarifberatung: <a href=""https://www.dslreg",company_site
Editions Pix'n Love,http://www.editionspixnlove.com/,editionspixnlove.com,contact,,https://www.editionspixnlove.com/nous-contacter,3,,https://www.editionspixnlove.com/16-l-histoire-du-jeu-video | https://www.editionspixnlove.com/smartblog/146_nightmare-busters-rebirth.html,contact page discovered (no email found),company_site
Electra,https://www.go-electra.com/,go-electra.com,contact,hello-france@go-electra.com,https://www.go-electra.com/de/contact/,14,hello-belgium@go-electra.com | hello-italy@go-electra.com | hello-switzerland@go-electra.com,https://www.go-electra.com/de/contact/ | https://www.go-electra.com/de/contact/ | https://www.go-electra.com/de/contact/,kontaktieren Sie uns bitte unter Electra Frankreich: hello-france@go-electra.com Electra Belgien: hello-belgium@go-electra.com E,company_site
Ems,http://www.ag-ems.de/,ag-ems.de,press,info@ag-ems.de,https://www.ag-ems.de/impressum,15,info@ag-ems.de | presse@ag-ems.de | presse@ag-ems.de,http://www.ag-ems.de/impressum | https://www.ag-ems.de/impressum | http://www.ag-ems.de/impressum,elefax: 04921-8907405 E-Mail: info(at)ag-ems.de Internet: <a,company_site
Emsflower,http://www.emsflower.de/,emsflower.de,press,info@emsflower.de,http://www.emsflower.de/rechtliches/impressum,15,info@emsflower.de,http://www.emsflower.de/kontakt,>Carl-von Linne StraÃe 1 48488 EmsbÃ¼ren E-Mail: info@emsflower.de Tel.: +49 (5903) 93553-0 Fax: +49 (5903) 93553-11,company_site
Endress+Hauser,https://www.fr.endress.com/fr,endress.com,contact,info-gm.fr@endress.com,https://www.fr.endress.com/fr/contact,14,info.fr@endress.com | info-gm.fr@endress.com | info.fr@endress.com,https://www.fr.endress.com/fr/contact | https://www.fr.endress.com/fr/groupe-endress-hauser/centre-presse | https://www.fr.endress.com/fr/groupe-endress-hauser/centre-presse,".endress.com/"",""name"":""Endress+Hauser France SASU"",""email"":""info-gm.fr@endress.com"",""telephone"":""+33 (0) 969 32 24 24"",""logo"":""https://www.fr.",company_site
