person_name,role,company,company_country,industry,person_website,company_website,linkedin_profile,company_linkedin,wikidata_person,wikidata_company,info_link,cluster_id,cluster_label,cluster_reason,best_contact_email,best_contact_url,best_contact_type,sources
Georg Nothelfer,Founder,Galerie Georg Nothelfer,Germany,,,https://www.galerie-nothelfer.de/,,,http://www.wikidata.org/entity/Q100909352,http://www.wikidata.org/entity/Q1491915,https://www.google.com/search?q=Georg+Nothelfer+Galerie+Georg+Nothelfer,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Reinhard Schneider,CEO,Werner & Mertz,Germany,chemical industry,https://werner-mertz.de,https://www.werner-mertz.de/,,,http://www.wikidata.org/entity/Q100936937,http://www.wikidata.org/entity/Q872833,https://www.google.com/search?q=Reinhard+Schneider+Werner+%26+Mertz,C0003,,"Shared group: industries=chemical industry, mining; countries=Germany, France; companies=Rosenthal, Kraul & Wilkening u. Stelling GmbH",,,,wikidata
Benedikt Schulz,Founder,Schulz & Schulz Architekten,Germany,,,http://schulz-und-schulz.com/,,,http://www.wikidata.org/entity/Q100979872,http://www.wikidata.org/entity/Q2251737,https://www.google.com/search?q=Benedikt+Schulz+Schulz+%26+Schulz+Architekten,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,https://schulz-und-schulz.com/projekte/polizeirevier-chemnitz-sud/,investor_relations,wikidata
Thomas Schäfer,CEO,Volkswagen,Germany,automotive industry,,https://www.vw.com/en.html,https://www.linkedin.com/in/thomas-schaefer-61b446138,,http://www.wikidata.org/entity/Q100989426,http://www.wikidata.org/entity/Q246,https://www.google.com/search?q=Thomas+Sch%C3%A4fer+Volkswagen,C0005,,"Shared group: industries=automotive industry; countries=Germany; companies=Augmentation Industries, Groupe BMW",,,,wikidata
Michael Weber,Founder,Schramm Film Koerner & Weber,Germany,television,,http://www.schrammfilm.de/,,,http://www.wikidata.org/entity/Q100997646,http://www.wikidata.org/entity/Q55344655,https://www.google.com/search?q=Michael+Weber+Schramm+Film+Koerner+%26+Weber,C0003,,"Shared group: industries=chemical industry, mining; countries=Germany, France; companies=Rosenthal, Kraul & Wilkening u. Stelling GmbH",,,,wikidata
Günther Fielmann,Founder,Fielmann,Germany,retail,,https://www.fielmann.de/,,https://www.linkedin.com/company/fielmann-ag,http://www.wikidata.org/entity/Q101055,http://www.wikidata.org/entity/Q457822,https://www.google.com/search?q=G%C3%BCnther+Fielmann+Fielmann,C0004,,"Shared group: industries=retail; countries=Germany, France; companies=ATU, Fielmann",bildschirmarbeitsbrille@fielmann.com,https://www.fielmann.de/firmenkunden/,investor_relations,wikidata
Friedrich Adolf Richter,Founder,Richter | Ankerwerk,Germany,,,,,,http://www.wikidata.org/entity/Q101176,http://www.wikidata.org/entity/Q15941401,https://www.google.com/search?q=Friedrich+Adolf+Richter+Richter,C0033,,"Shared group: industries=; countries=Germany; companies=Richter, Ankerwerk",,,,wikidata
Franky Mulliez,Founder,Kiloutou,France,location et location-bail d'autres biens personnels et domestiques,,https://www.kiloutou.com/,,https://www.linkedin.com/company/kiloutou,http://www.wikidata.org/entity/Q101252333,http://www.wikidata.org/entity/Q3196672,https://www.google.com/search?q=Franky+Mulliez+Kiloutou,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",,,,wikidata
Jacob Mayer,Founder,Bochumer Verein,Germany,metal industry,,,,,http://www.wikidata.org/entity/Q101277,http://www.wikidata.org/entity/Q889107,https://www.google.com/search?q=Jacob+Mayer+Bochumer+Verein,C0013,,"Shared group: industries=metal industry; countries=Germany, France; companies=ZF Sachs, Salzgitter Mannesmann",,,,wikidata
Florian Reinaud,Founder,Concilio,France,,,https://www.concilio.com,,,http://www.wikidata.org/entity/Q101437824,http://www.wikidata.org/entity/Q101437878,https://www.google.com/search?q=Florian+Reinaud+Concilio,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",contact@concilio.com,https://www.concilio.com/chirurgie-plastique,investor_relations,wikidata
Theodor Koch,Founder,Heckler & Koch,Germany,industrial manufacturing,,https://hk-usa.com/,,,http://www.wikidata.org/entity/Q101652,http://www.wikidata.org/entity/Q152815,https://www.google.com/search?q=Theodor+Koch+Heckler+%26+Koch,C0018,,"Shared group: industries=industrial manufacturing; countries=Germany, France; companies=Gerstlauer, Rational AG",,https://hk-usa.com/wp-content/uploads/elementor/google-fonts/css/saira.css?ver=1753813907,investor_relations,wikidata
Pierre Corneille,Founder,Théâtre populaire de la Mothe-Saint-Héray,France,creative industries,,http://www.la-mothe-saint-heray.fr/index.php/decouvrir/sites-remarquables/9-decouvrir/52-le-parc-munucipal,,,http://www.wikidata.org/entity/Q101804618,http://www.wikidata.org/entity/Q101803159,https://www.google.com/search?q=Pierre+Corneille+Th%C3%A9%C3%A2tre+populaire+de+la+Mothe-Saint-H%C3%A9ray,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",,,,wikidata
Christophe Sousa,Founder,Dooweet,France,advertising agency activities,,https://dooweet.org/,,,http://www.wikidata.org/entity/Q102231121,http://www.wikidata.org/entity/Q102226212,https://www.google.com/search?q=Christophe+Sousa+Dooweet,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",,,,wikidata
Hermann Noack,Founder,Hermann Noack Hofphotograph,Germany,,,,,,http://www.wikidata.org/entity/Q102280933,http://www.wikidata.org/entity/Q114678673,https://www.google.com/search?q=Hermann+Noack+Hermann+Noack+Hofphotograph,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Georges Costallat,Founder,Costallat,France,,,,,,http://www.wikidata.org/entity/Q102316737,http://www.wikidata.org/entity/Q108146432,https://www.google.com/search?q=Georges+Costallat+Costallat,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",,,,wikidata
Stephan Kaufmann,CEO,Augmentation Industries,Germany,automotive industry,,,,,http://www.wikidata.org/entity/Q102335153,http://www.wikidata.org/entity/Q16949389,https://www.google.com/search?q=Stephan+Kaufmann+Augmentation+Industries,C0005,,"Shared group: industries=automotive industry; countries=Germany; companies=Augmentation Industries, Groupe BMW",,,,wikidata
Friedrich Grillo,Founder,Gelsenkirchener Bergwerks-AG | Aktiengesellschaft für chemische Industrie,Germany,mining,,,,,http://www.wikidata.org/entity/Q102367,http://www.wikidata.org/entity/Q1499819,https://www.google.com/search?q=Friedrich+Grillo+Gelsenkirchener+Bergwerks-AG,C0003,,"Shared group: industries=chemical industry, mining; countries=Germany, France; companies=Rosenthal, Kraul & Wilkening u. Stelling GmbH",,,,wikidata
Jarosław Kutyłowski,Founder,Q131894787,Germany,,,http://www.deepl.com,https://www.linkedin.com/in/jarekkut,,http://www.wikidata.org/entity/Q102406485,http://www.wikidata.org/entity/Q131894787,https://www.google.com/search?q=Jaros%C5%82aw+Kuty%C5%82owski+Q131894787,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",support@DeepL.com,https://www.deepl.com/en/firefox-extension,investor_relations,wikidata
Tim Reichert,Founder,SK Gaming,Germany,,http://timreichert.net/,http://www.sk-gaming.com,,,http://www.wikidata.org/entity/Q102482,http://www.wikidata.org/entity/Q1358792,https://www.google.com/search?q=Tim+Reichert+SK+Gaming,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",info@sk-gaming.com,https://www.sk-gaming.com/contact,contact,wikidata
Ewald Schoeller,Founder,Alesco,Germany,product packaging industry,,http://www.alesco.net,,,http://www.wikidata.org/entity/Q102512494,http://www.wikidata.org/entity/Q2641022,https://www.google.com/search?q=Ewald+Schoeller+Alesco,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",info@alesco.net,http://www.alesco.net/de/aktuelles/details/aachener-firmenlauf-2025,investor_relations,wikidata
Hermann Blohm,Founder,Blohm+Voss,Germany,shipbuilding,,https://nvl.de/en/shipyards-and-docks/blohmvoss,,,http://www.wikidata.org/entity/Q102536,http://www.wikidata.org/entity/Q218715,https://www.google.com/search?q=Hermann+Blohm+Blohm%2BVoss,C0003,,"Shared group: industries=chemical industry, mining; countries=Germany, France; companies=Rosenthal, Kraul & Wilkening u. Stelling GmbH",info@poolone.de,https://nvl.de/en/media,press,wikidata
Adolph Bleichert,Founder,Adolf Bleichert & Co.,Germany,automotive industry,,,,,http://www.wikidata.org/entity/Q102718,http://www.wikidata.org/entity/Q328885,https://www.google.com/search?q=Adolph+Bleichert+Adolf+Bleichert+%26+Co.,C0005,,"Shared group: industries=automotive industry; countries=Germany; companies=Augmentation Industries, Groupe BMW",,,,wikidata
Carl Miele,Founder,Miele,Germany,home appliance industry,https://www.miele.pl/,https://www.miele.com,,,http://www.wikidata.org/entity/Q103231,http://www.wikidata.org/entity/Q695230,https://www.google.com/search?q=Carl+Miele+Miele,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",sales@miele.com.au,https://www.miele.com/en/com/contact-us-2073.htm,sales_partnership,wikidata
Paul Smaczny,Founder,Accentus Music,Germany,,,http://accentus.com,,,http://www.wikidata.org/entity/Q10346303,http://www.wikidata.org/entity/Q85739571,https://www.google.com/search?q=Paul+Smaczny+Accentus+Music,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",info@accentus.com,https://accentus.com/happy-birthday-herbert-blomstedt/,investor_relations,wikidata
Adolf Jandorf,Founder,A. Jandorf & Co.,Germany,,,,,,http://www.wikidata.org/entity/Q103492,http://www.wikidata.org/entity/Q62579826,https://www.google.com/search?q=Adolf+Jandorf+A.+Jandorf+%26+Co.,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Rodolfo Crespi,Founder,Q64520835,France,,,,,,http://www.wikidata.org/entity/Q10363692,http://www.wikidata.org/entity/Q64520835,https://www.google.com/search?q=Rodolfo+Crespi+Q64520835,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",,,,wikidata
Carl Bolle,Founder,Norddeutsche Eiswerke | Meierei Bolle,Germany,Other transportation support activities,,,,,http://www.wikidata.org/entity/Q1036751,http://www.wikidata.org/entity/Q107140464,https://www.google.com/search?q=Carl+Bolle+Norddeutsche+Eiswerke,C0034,,"Shared group: industries=Other transportation support activities; countries=Germany; companies=Meierei Bolle, Norddeutsche Eiswerke",,,,wikidata
Carl Bertelsmann,Founder,Bertelsmann,Germany,educational system,,https://www.bertelsmann.com/,,https://www.linkedin.com/company/bertelsmann,http://www.wikidata.org/entity/Q1037050,http://www.wikidata.org/entity/Q156913,https://www.google.com/search?q=Carl+Bertelsmann+Bertelsmann,C0044,,Shared group: industries=educational system; countries=Germany; companies=Bertelsmann,,https://www.bertelsmann.com/investor-relations/,investor_relations,wikidata
Carl Brendgen,Founder,Hubertus Braunkohlen-Aktiengesellschaft,Germany,mining,,,,,http://www.wikidata.org/entity/Q1037146,http://www.wikidata.org/entity/Q68557515,https://www.google.com/search?q=Carl+Brendgen+Hubertus+Braunkohlen-Aktiengesellschaft,C0003,,"Shared group: industries=chemical industry, mining; countries=Germany, France; companies=Rosenthal, Kraul & Wilkening u. Stelling GmbH",,,,wikidata
Volker Wertich,Founder,Envision Entertainment | EA Phenomic,Germany,,,https://www.envision-entertainment.de/,,https://www.linkedin.com/company/envision-entertainment-gmbh,http://www.wikidata.org/entity/Q103787,http://www.wikidata.org/entity/Q124285064,https://www.google.com/search?q=Volker+Wertich+Envision+Entertainment,C0035,,"Shared group: industries=; countries=Germany; companies=Envision Entertainment, EA Phenomic",info@envision-entertainment.de,https://www.envision-entertainment.de/contact,contact,wikidata
Wilhelm Meister,Founder,Hoechst,Germany,information technology,,http://www.hoechst.de/,,,http://www.wikidata.org/entity/Q1038111,http://www.wikidata.org/entity/Q542511,https://www.google.com/search?q=Wilhelm+Meister+Hoechst,C0017,,"Shared group: industries=information technology; countries=Germany; companies=Allgeier SE, ZAUBAR",kontakt@hoechst.de,http://www.hoechst.de/,contact,wikidata
Frank Delmas,Founder,Delmas,France,transport,,http://www.delmas.com/default.asp,,,http://www.wikidata.org/entity/Q103820135,http://www.wikidata.org/entity/Q1184506,https://www.google.com/search?q=Frank+Delmas+Delmas,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",,,,wikidata
Melissa Di Donato,CEO,SUSE,Germany,software development,https://www.kyriba.com/company/about-kyriba/melissa-di-donato/,https://www.suse.com/,https://www.linkedin.com/in/melissad2,,http://www.wikidata.org/entity/Q103824349,http://www.wikidata.org/entity/Q14594782,https://www.google.com/search?q=Melissa+Di+Donato+SUSE,C0008,,"Shared group: industries=software development; countries=Germany, France; companies=SUSE, KIS",sales-inquiries-apac@suse.com,https://www.suse.com/contact/,investor_relations,wikidata
Carl Heinrich Florenz Müller,Founder,Valvo,Germany,,,,,,http://www.wikidata.org/entity/Q1038658,http://www.wikidata.org/entity/Q2509637,https://www.google.com/search?q=Carl+Heinrich+Florenz+M%C3%BCller+Valvo,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Carl Johann Freudenberg,Founder,Freudenberg,Germany,,,http://www.freudenberg.com/,,,http://www.wikidata.org/entity/Q1039036,http://www.wikidata.org/entity/Q2498443,https://www.google.com/search?q=Carl+Johann+Freudenberg+Freudenberg,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",info@freudenberg.com,http://www.freudenberg.com/en/legal-notice,legal,wikidata
Carl Julius Winter,Founder,Wintershall Dea,Germany,mining,,,,,http://www.wikidata.org/entity/Q1039127,http://www.wikidata.org/entity/Q567050,https://www.google.com/search?q=Carl+Julius+Winter+Wintershall+Dea,C0003,,"Shared group: industries=chemical industry, mining; countries=Germany, France; companies=Rosenthal, Kraul & Wilkening u. Stelling GmbH",,,,wikidata
Anne-Marie Storme,Founder,Le théâtre de l’instant,France,creative industries,,http://www.theatredelinstant.fr,https://www.linkedin.com/in/anne-marie-storme-78a5a160,,http://www.wikidata.org/entity/Q103931691,http://www.wikidata.org/entity/Q103932270,https://www.google.com/search?q=Anne-Marie+Storme+Le+th%C3%A9%C3%A2tre+de+l%E2%80%99instant,C0014,,"Shared group: industries=creative industries; countries=France, Germany; companies=La Muse en circuit, Atelier théâtre de l'École alsacienne",,,,wikidata
Carl Laeisz,Founder,Hamburg Süd,Germany,water transport,,http://www.hamburgsud.com,,,http://www.wikidata.org/entity/Q1039334,http://www.wikidata.org/entity/Q565050,https://www.google.com/search?q=Carl+Laeisz+Hamburg+S%C3%BCd,C0010,,"Shared group: industries=water transport, international trade; countries=Germany, France; companies=Reederei Norden-Frisia, Horn-Linie",,http://www.hamburgsud.com/support/get-started,support,wikidata
Carl Merck,Founder,Merck KGaA,Germany,chemical industry,,https://www.merckgroup.com/,,https://www.linkedin.com/company/healthcarebusinessofmerck,http://www.wikidata.org/entity/Q1039749,http://www.wikidata.org/entity/Q156959,https://www.google.com/search?q=Carl+Merck+Merck+KGaA,C0003,,"Shared group: industries=chemical industry, mining; countries=Germany, France; companies=Rosenthal, Kraul & Wilkening u. Stelling GmbH",,,,wikidata
Rudolph Karstadt,Founder,Karstadt,Germany,retail,,https://www.karstadt.de/,,,http://www.wikidata.org/entity/Q103982,http://www.wikidata.org/entity/Q182910,https://www.google.com/search?q=Rudolph+Karstadt+Karstadt,C0004,,"Shared group: industries=retail; countries=Germany, France; companies=ATU, Fielmann",,,,wikidata
Karl Philipp Heinrich Pistor,Founder,Pistor & Martins,Germany,,,,,,http://www.wikidata.org/entity/Q1040068,http://www.wikidata.org/entity/Q133269436,https://www.google.com/search?q=Karl+Philipp+Heinrich+Pistor+Pistor+%26+Martins,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Carl Schütte,Founder,German-American Petroleum Company,Germany,petroleum industry,,,,,http://www.wikidata.org/entity/Q1040568,http://www.wikidata.org/entity/Q1201722,https://www.google.com/search?q=Carl+Sch%C3%BCtte+German-American+Petroleum+Company,C0041,,Shared group: industries=petroleum industry; countries=Germany; companies=German-American Petroleum Company,,,,wikidata
Robert Mayr,CEO,DATEV,Germany,data center,,https://www.datev.de/,https://www.linkedin.com/in/dr-robert-mayr,https://www.linkedin.com/company/datev-eg,http://www.wikidata.org/entity/Q104067456,http://www.wikidata.org/entity/Q1151743,https://www.google.com/search?q=Robert+Mayr+DATEV,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,https://www.datev.de/web/de/wirtschaftspruefung,investor_relations,wikidata
Carl Woermann,Founder,C. Woermann | Hamburg Süd | Hamburg Süd | Hamburg Süd | Hamburg Süd | Hamburg Süd | Hamburg Süd | Hamburg-Amerikanische-Packetfahrt-Actien-Gesellschaft | Hamburg-Amerikanische-Packetfahrt-Actien-Gesellschaft | Hamburg-Amerikanische-Packetfahrt-Actien-Gesellschaft | Hamburg-Amerikanische-Packetfahrt-Actien-Gesellschaft | Hamburg-Amerikanische-Packetfahrt-Actien-Gesellschaft | Hamburg-Amerikanische-Packetfahrt-Actien-Gesellschaft,Germany,international trade,,http://www.c-woermann.de/,,,http://www.wikidata.org/entity/Q1041173,http://www.wikidata.org/entity/Q50825044,https://www.google.com/search?q=Carl+Woermann+C.+Woermann,C0010,,"Shared group: industries=water transport, international trade; countries=Germany, France; companies=Reederei Norden-Frisia, Horn-Linie",info@c-woermann.com,https://www.c-woermann.de/deutsch/impressum/,press,wikidata
Albert Weil,Founder,Albert Weil,Germany,,,,,,http://www.wikidata.org/entity/Q104191226,http://www.wikidata.org/entity/Q104191207,https://www.google.com/search?q=Albert+Weil+Albert+Weil,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Louis Helbig,Founder,Bbg Berliner Baugenossenschaft,Germany,,,https://bbg-eg.de/,,,http://www.wikidata.org/entity/Q104203272,http://www.wikidata.org/entity/Q812774,https://www.google.com/search?q=Louis+Helbig+Bbg+Berliner+Baugenossenschaft,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",kerstin.kirsch@bbg-eg.de,https://bbg-eg.de/kontakt/verwaltung/,investor_relations,wikidata
Heinrich Lanz,Founder,Heinrich Lanz AG,Germany,manufacture of agricultural and forestry machinery,,,,,http://www.wikidata.org/entity/Q104281,http://www.wikidata.org/entity/Q881627,https://www.google.com/search?q=Heinrich+Lanz+Heinrich+Lanz+AG,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Wilhelm Emil Fein,Founder,Fein,Germany,,,https://fein.com/,,,http://www.wikidata.org/entity/Q104282,http://www.wikidata.org/entity/Q1022384,https://www.google.com/search?q=Wilhelm+Emil+Fein+Fein,C0045,,Shared group: industries=; countries=Germany; companies=Fein,,,,wikidata
Jules Ouaki,Founder,Tati Barbès,France,,,,,,http://www.wikidata.org/entity/Q104418920,http://www.wikidata.org/entity/Q109845346,https://www.google.com/search?q=Jules+Ouaki+Tati+Barb%C3%A8s,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",,,,wikidata
Joachim Schulz,CEO,AURORA Konrad G. Schulz GmbH & Co. KG,Germany,,,https://www.aurora-eos.com,,https://www.linkedin.com/company/aurora-konrad-g-schulz-gmbh-&-co-kg,http://www.wikidata.org/entity/Q104504232,http://www.wikidata.org/entity/Q106560674,https://www.google.com/search?q=Joachim+Schulz+AURORA+Konrad+G.+Schulz+GmbH+%26+Co.+KG,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",info@aurora-eos.com,https://www.aurora-eos.com/de/maerkte/forstwirtschaft,investor_relations,wikidata
Carsten Spohr,CEO,Lufthansa,Germany,air transport,,https://www.lufthansa.com/,,https://www.linkedin.com/company/lufthansa,http://www.wikidata.org/entity/Q1045681,http://www.wikidata.org/entity/Q9325,https://www.google.com/search?q=Carsten+Spohr+Lufthansa,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Carl Herlitz,Founder,Herlitz,Germany,stationery,,https://www.herlitz.de/,,,http://www.wikidata.org/entity/Q104636,http://www.wikidata.org/entity/Q315859,https://www.google.com/search?q=Carl+Herlitz+Herlitz,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",info@pelikan.com,https://www.herlitz.de/herlitzhp/Pulsar/de.CMS.display.22./impressum,press,wikidata
Mélanie Christin,Founder,Atelier 801,France,édition de jeux électroniques,,https://atelier801.com,,,http://www.wikidata.org/entity/Q104704616,http://www.wikidata.org/entity/Q21708180,https://www.google.com/search?q=M%C3%A9lanie+Christin+Atelier+801,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",,https://atelier801.com/contact,contact,wikidata
Diane Landais,Founder,Accidental Queens,France,publishing of application software,,http://accidentalqueens.com/,,,http://www.wikidata.org/entity/Q104707029,http://www.wikidata.org/entity/Q61630095,https://www.google.com/search?q=Diane+Landais+Accidental+Queens,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",contact@accidentalqueens.com,https://accidentalqueens.com/press,press,wikidata
